City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Tucumcari,US,2021-09-23 05:16:28,35.1717,-103.725,66.04,30,1,10.36
127,Bengkulu,ID,2021-09-23 05:14:18,-3.8004,102.2655,83.82,71,77,6.87
128,Kahului,US,2021-09-23 05:16:29,20.8947,-156.47,78.82,75,1,17.27
129,Camacha,PT,2021-09-23 05:16:29,33.0833,-16.3333,68.76,73,40,12.66
130,Cobourg,DE,2021-09-23 05:16:30,50.2667,10.9667,51.55,97,10,2.93
131,Keflavik,IS,2021-09-23 05:16:30,64.0049,-22.5624,41.43,81,75,8.05
132,Cabedelo,BR,2021-09-23 05:16:24,-6.9811,-34.8339,74.07,85,22,5.64
133,Naples,IT,2021-09-23 05:16:31,40.8333,14.25,69.75,56,0,5.99
134,Cape Town,ZA,2021-09-23 05:16:07,-33.9258,18.4232,59.88,70,0,1.99
135,Trinidad,BO,2021-09-23 05:16:31,-14.8333,-64.9,78.85,47,56,3.85
136,Constitucion,CL,2021-09-23 05:16:32,-35.3333,-72.4167,49.55,85,92,9.15
137,Bonavista,CA,2021-09-23 05:16:32,48.6499,-53.1147,58.12,89,53,10.47
138,Kushima,JP,2021-09-23 05:16:33,31.4583,131.2333,91.44,42,3,5.32
139,Nova Prata,BR,2021-09-23 05:16:33,-28.7839,-51.61,44.26,90,30,5.44
140,Sosnovo-Ozerskoye,RU,2021-09-23 05:16:33,52.5249,111.5418,43.3,79,99,10.63
141,Baishishan,CN,2021-09-23 05:16:34,43.5833,127.5667,53.53,95,100,2.68
142,Klaksvik,FO,2021-09-23 05:16:34,62.2266,-6.589,45.52,66,73,35.14
143,Misratah,LY,2021-09-23 05:16:35,32.3754,15.0925,81.32,48,43,3.96
144,Mackay,AU,2021-09-23 05:16:35,-21.15,149.2,74.05,58,79,11.45
145,Luganville,VU,2021-09-23 05:16:36,-15.5333,167.1667,79.45,78,77,5.19
146,Nuuk,GL,2021-09-23 05:16:36,64.1835,-51.7216,29.01,80,20,4.61
147,Nikolskoye,RU,2021-09-23 05:16:36,59.7035,30.7861,44.02,96,100,3.89
148,Fare,PF,2021-09-23 05:16:37,-16.7,-151.0167,77.5,71,1,8.41
149,Kisangani,CD,2021-09-23 05:16:37,0.5167,25.2,70.09,99,100,4.5
150,Coihaique,CL,2021-09-23 05:16:38,-45.5752,-72.0662,46.35,81,90,3.44
151,Gouyave,GD,2021-09-23 05:16:39,12.1646,-61.7296,81.14,78,11,12.1
152,Ostrovnoy,RU,2021-09-23 05:16:39,68.0531,39.5131,41.47,79,0,20.69
153,Pisco,PE,2021-09-23 05:14:55,-13.7,-76.2167,60.03,88,90,12.66
154,Herat,AF,2021-09-23 05:16:40,34.5,62.0,79.47,12,0,5.64
155,Yar-Sale,RU,2021-09-23 05:16:40,66.8333,70.8333,40.26,74,100,20.04
156,Muroto,JP,2021-09-23 05:16:41,33.2833,134.15,82.44,57,47,8.25
157,Makakilo City,US,2021-09-23 05:16:41,21.3469,-158.0858,79.12,68,1,4.61
158,Port Elizabeth,ZA,2021-09-23 05:16:41,-33.918,25.5701,57.49,88,0,4.61
159,Lac Du Bonnet,CA,2021-09-23 05:16:42,50.2536,-96.0612,60.94,41,8,12.64
160,Nome,US,2021-09-23 05:16:42,64.5011,-165.4064,35.67,60,90,5.75
161,Gonen,TR,2021-09-23 05:16:43,40.1049,27.654,57.16,79,98,11.9
162,Hun,LY,2021-09-23 05:16:43,29.1268,15.9477,79.16,20,0,6.76
163,Mahanoro,MG,2021-09-23 05:16:44,-19.9,48.8,72.12,70,79,0.94
164,Saint George,US,2021-09-23 05:13:27,37.1041,-113.5841,75.79,21,1,1.99
165,Saint-Pierre,RE,2021-09-23 05:16:44,-21.3393,55.4781,75.29,58,0,5.75
