,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
478,Ambilobe,MG,75.47,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
480,San Buenaventura,MX,74.84,broken clouds,27.0833,-101.5333,Hotel Gran Plaza
482,Avera,US,73.27,broken clouds,33.194,-82.5271,NaN
485,Bukama,CD,70.79,scattered clouds,-9.2,25.85,NaN
486,Kantunilkin,MX,76.95,few clouds,21.0917,-87.45,Posada Paraiso
488,Mimongo,GA,69.22,light rain,-1.6195,11.6068,NaN
489,Jalingo,NG,73.06,overcast clouds,8.8833,11.3667,Debright Motel
490,Jiuquan,CN,62.1,clear sky,39.7432,98.5174,Jiuquan Hotel
491,Alta Floresta,BR,69.13,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
493,Port Lincoln,AU,61.77,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
498,Umm Lajj,SA,79.99,clear sky,25.0213,37.2685,Moon light Furnished Units
499,Kabompo,ZM,68.22,broken clouds,-13.5927,24.2008,Big Tree
501,Porto Novo,BJ,76.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
502,Mbanza-Ngungu,CD,69.62,overcast clouds,-5.25,14.8667,Hotel Full Business
503,Santo Antonio Do Sudoeste,BR,62.29,overcast clouds,-26.0736,-53.7253,Hotel Frontera
509,Freeport,US,63.18,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
513,Nabire,ID,79.2,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
518,Soyo,AO,75.2,overcast clouds,-6.1349,12.3689,Hotel Mpampa
522,Saint Anthony,US,69.26,mist,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
526,Sakete,BJ,76.14,broken clouds,6.7362,2.6587,IBUKUN OLUWA
531,Carutapera,BR,77.49,moderate rain,-1.195,-46.02,Lidera
533,Poum,NC,75.24,overcast clouds,-20.2333,164.0167,Gîte kajeon
539,Luau,AO,65.07,broken clouds,-10.7073,22.2247,Casa- Bernardo Cândido
543,Ixtapa,MX,77.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
545,Sabinopolis,BR,68.38,broken clouds,-18.6661,-43.0839,Hotel Pousada Jesus
546,Wahiawa,US,77.32,scattered clouds,21.5028,-158.0236,Aloha Wahiawa
549,Grand Gaube,MU,75.6,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
550,Camacha,PT,67.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
553,Russell,US,72.63,mist,32.3502,-85.1999,Macs
554,Pucallpa,PE,76.5,few clouds,-8.3791,-74.5539,Hospedaje Komby
556,Baracoa,CU,78.87,broken clouds,20.3467,-74.4958,Hostal Rio Miel
557,Monte Alegre,BR,77.38,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
559,Paengaroa,NZ,63.34,clear sky,-37.8167,176.4167,Kiwi Corral
560,Houston,US,76.3,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
563,Amantea,IT,64.35,scattered clouds,39.1332,16.0746,Mediterraneo Palace Hotel
564,Cotonou,BJ,76.98,light rain,6.3654,2.4183,Novotel Cotonou Orisha
566,Sambava,MG,71.89,light rain,-14.2667,50.1667,Melrose
571,Quelimane,MZ,69.75,clear sky,-17.8786,36.8883,Hotel Flamingo
572,Mount Pleasant,US,73.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
574,Alappuzha,IN,76.75,overcast clouds,9.49,76.3264,Panoramic Sea Resort
575,Saraland,US,72.23,overcast clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
580,Pachino,IT,70.59,overcast clouds,36.7186,15.0907,Pietra Bianca B&B
592,Moultrie,US,74.82,clear sky,31.1799,-83.7891,Moultrie Inn
593,Terre-De-Bas,GP,78.31,overcast clouds,15.8501,-61.6442,Hôtel Bois Joli
602,Marsaxlokk,MT,74.01,broken clouds,35.8419,14.5431,Water's Edge
604,Santa Lucia,ES,66.11,clear sky,27.9117,-15.5407,Las Tirajanas
607,Vangaindrano,MG,69.55,clear sky,-23.35,47.6,Hotel Fanilo
609,Alice,US,76.32,overcast clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
610,Mollendo,PE,61.74,scattered clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
616,Asosa,ET,60.53,light rain,10.0667,34.5333,Blendana Hotel Assosa
617,Oussouye,SN,79.5,light rain,12.485,-16.5469,Auberge du Routard
618,Neosho,US,71.83,overcast clouds,36.869,-94.368,Best Western Big Spring Lodge
621,Morros,BR,77.56,broken clouds,-9.4467,-46.3003,NaN
623,Mocuba,MZ,71.15,scattered clouds,-16.8392,36.9856,Phama Lodge
627,Ejura,GH,72.39,light rain,7.3856,-1.3562,Fire Servece
636,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
639,Piacabucu,BR,75.54,clear sky,-10.4056,-36.4344,Piaçabuçu News
643,Teahupoo,PF,75.16,scattered clouds,-17.8333,-149.2667,Vanira Lodge
646,Uwajima,JP,76.96,clear sky,33.2238,132.56,Uwajima Oriental Hotel
649,Ilam,NP,71.37,light rain,26.9167,87.9167,चियाबारी कटेज
654,Erzin,TR,64.99,clear sky,36.9559,36.2,Artemis Otel
656,Yatou,CN,72.9,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
657,Morgan City,US,77.02,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
658,Puerto Leguizamo,CO,73.81,broken clouds,-0.1934,-74.7819,la casona de juancho
660,Puerto Del Rosario,ES,73.08,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
661,Misratah,LY,73.71,clear sky,32.3754,15.0925,فندق الماسة
666,Brainerd,US,66.45,mist,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
674,Christchurch,NZ,62.47,overcast clouds,-43.5333,172.6333,The George
675,Wajir,KE,73.67,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
676,Port Macquarie,AU,69.76,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
679,Camapua,BR,75.7,few clouds,-19.5314,-54.0439,Comercial Estrela
680,Lincoln,US,66.27,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
681,Curup,ID,79.74,overcast clouds,-3.4667,102.5333,Ayi The Costel
684,Mumford,GH,76.64,light rain,5.2618,-0.759,Spanish Villa
687,Sungairaya,ID,77.67,light rain,0.7,108.9,Mess P.Milu
