City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
242,Along,IN,2021-10-02 04:20:49,28.1667,94.7667,84.45,69,45,1.36,scattered clouds
243,Griffith,US,2021-10-02 04:17:19,41.5284,-87.4237,75.13,64,1,1.01,clear sky
244,San Fernando,PH,2021-10-02 04:20:49,15.0286,120.6898,87.15,61,85,3.0,overcast clouds
245,Triunfo,BR,2021-10-02 04:20:50,-29.9433,-51.7181,66.15,98,70,4.0,broken clouds
246,Nemuro,JP,2021-10-02 04:20:51,43.3236,145.575,64.83,90,100,23.49,overcast clouds
247,Ust-Maya,RU,2021-10-02 04:20:51,60.4167,134.5333,36.1,74,100,6.96,overcast clouds
248,Two Rivers,US,2021-10-02 04:20:12,44.1539,-87.5693,68.27,97,1,1.01,mist
249,Praia Da Vitoria,PT,2021-10-02 04:18:25,38.7333,-27.0667,71.76,94,0,8.5,clear sky
250,Katsuura,JP,2021-10-02 04:16:29,35.1333,140.3,82.51,70,3,8.88,clear sky
251,Kaeo,NZ,2021-10-02 04:20:53,-35.1,173.7833,64.33,64,0,6.11,clear sky
252,Saldanha,ZA,2021-10-02 04:20:53,-33.0117,17.9442,50.05,83,56,11.86,light rain
253,Puerto Carreno,CO,2021-10-02 04:20:54,6.189,-67.4859,76.75,89,97,2.89,overcast clouds
254,Qazax,AZ,2021-10-02 04:20:54,41.0933,45.3661,49.86,93,100,1.25,overcast clouds
255,Zeerust,ZA,2021-10-02 04:20:55,-25.5369,26.0751,58.01,87,99,2.64,light rain
256,Dagana,MR,2021-10-02 04:20:55,16.5165,-15.5068,83.21,59,26,10.22,scattered clouds
257,Marawi,PH,2021-10-02 04:20:55,7.9986,124.2928,77.65,70,63,3.02,broken clouds
258,Zhuhai,CN,2021-10-02 04:20:56,22.2769,113.5678,89.78,70,20,4.61,few clouds
259,Sao Gabriel Da Cachoeira,BR,2021-10-02 04:20:56,-0.1303,-67.0892,73.09,97,99,1.01,overcast clouds
260,Dolinsk,RU,2021-10-02 04:20:57,47.35,142.8,51.66,95,100,12.26,overcast clouds
